파일	테이블명
[20230509_오프라인대행사적재.SQL	fl_mk_lgpromo_actrslt_temp
[20230509_오프라인대행사적재.SQL	fl_mk_prmtn_actrslt_temp
[20230509_오프라인대행사적재.SQL	fl_mk_prmtn_exch_sl_temp
[20230509_오프라인대행사적재.SQL	fl_sl_prod_sl
[20230509_오프라인대행사적재.SQL	temp_lgpromo_actrslt_01
[20230509_오프라인대행사적재.SQL	wl_sl_pspt_rcgnt_no
[20230509_오프라인대행사적재.SQL	wl_sl_str_info
[20230509_오프라인마트치환.SQL	fl_mk_lgpromo_actrslt
[20230509_오프라인마트치환.SQL	fl_mk_lgpromo_actrslt_temp
[20230509_오프라인마트치환.SQL	fl_mk_midpromo_actrslt
[20230509_오프라인마트치환.SQL	fl_mk_midpromo_actrslt_temp
[20230509_오프라인마트치환.SQL	fl_mk_prmtn_actrslt
[20230509_오프라인마트치환.SQL	fl_mk_prmtn_actrslt_temp
[20230509_오프라인마트치환.SQL	fl_mk_prmtn_exch_sl
[20230509_오프라인마트치환.SQL	fl_mk_prmtn_exch_sl_temp
[20230509_오프라인마트치환.SQL	fl_mk_prmtn_offer_actrslt
[20230509_오프라인마트치환.SQL	fl_mk_prmtn_offer_actrslt_init2
[20230509_오프라인소행사적재.SQL	d_intg_memb
[20230509_오프라인소행사적재.SQL	d_ldfp
[20230509_오프라인소행사적재.SQL	d_prmtn
[20230509_오프라인소행사적재.SQL	fl_mk_ldfp_acmlt_use_ptcls
[20230509_오프라인소행사적재.SQL	fl_mk_prmtn_actrslt
[20230509_오프라인소행사적재.SQL	fl_mk_prmtn_actrslt_temp
[20230509_오프라인소행사적재.SQL	fl_mk_prmtn_exch_chng_temp
[20230509_오프라인소행사적재.SQL	fl_mk_prmtn_exch_sl
[20230509_오프라인소행사적재.SQL	fl_mk_prmtn_exch_sl_temp
[20230509_오프라인소행사적재.SQL	fl_mk_prmtn_fgf_prestat_dtl
[20230509_오프라인소행사적재.SQL	fl_sl_prod_sl
[20230509_오프라인소행사적재.SQL	temp_prmtn_actrslt_01
[20230509_오프라인소행사적재.SQL	temp_prmtn_actrslt_02
[20230509_오프라인소행사적재.SQL	temp_prmtn_actrslt_03
[20230509_오프라인소행사적재.SQL	temp_prmtn_actrslt_04
[20230509_오프라인소행사적재.SQL	temp_prmtn_actrslt_05
[20230509_오프라인소행사적재.SQL	wl_lc_prmtn_offer_sect
[20230509_오프라인소행사적재.SQL	wl_lc_prmtn_offer_sect_ldfp
[20230509_오프라인소행사적재.SQL	wl_lp_ldfp_no_acmlt_use_cap_mgt
[20230509_오프라인소행사적재.SQL	wl_mk_fgf_basic_info
